Geography,Aggravated Robbery,Financial Year,Count
NW,Robbery of Cash in Transit,2018/2019,10
NW,Robbery of Cash in Transit,2019/2020,11
NW,Robbery of Cash in Transit,2020/2021,5
NW,Bank Robbery,2011/2012,4
NW,Bank Robbery,2012/2013,0
NW,Bank Robbery,2013/2014,0
NW,Bank Robbery,2014/2015,1
NW,Bank Robbery,2015/2016,3
NW,Bank Robbery,2016/2017,0
NW,Bank Robbery,2017/2018,1
NW,Bank Robbery,2018/2019,2
NW,Bank Robbery,2019/2020,0
NW,Bank Robbery,2020/2021,0
NW,Truck Hijacking,2011/2012,28
NW,Truck Hijacking,2012/2013,22
NW,Truck Hijacking,2013/2014,46
NW,Truck Hijacking,2014/2015,45
NW,Truck Hijacking,2015/2016,42
NW,Truck Hijacking,2016/2017,48
NW,Truck Hijacking,2017/2018,41
NW,Truck Hijacking,2018/2019,54
NW,Truck Hijacking,2019/2020,36
NW,Truck Hijacking,2020/2021,37
NW,Other,2011/2012,2852
NW,Other,2012/2013,2766
NW,Other,2013/2014,2751
NW,Other,2014/2015,3119
NW,Other,2015/2016,3403
NW,Other,2016/2017,3792
NW,Other,2017/2018,3927
NW,Other,2018/2019,3859
NW,Other,2019/2020,3884
NW,Other,2020/2021,3119
NC,Car Hijacking,2011/2012,8
NC,Car Hijacking,2012/2013,28
NC,Car Hijacking,2013/2014,28
NC,Car Hijacking,2014/2015,15
NC,Car Hijacking,2015/2016,47
NC,Car Hijacking,2016/2017,29
NC,Car Hijacking,2017/2018,37
NC,Car Hijacking,2018/2019,39
NC,Car Hijacking,2019/2020,34
NC,Car Hijacking,2020/2021,20
NC,Robbery at Residential Premises,2011/2012,89
NC,Robbery at Residential Premises,2012/2013,104
NC,Robbery at Residential Premises,2013/2014,110
NC,Robbery at Residential Premises,2014/2015,123
NC,Robbery at Residential Premises,2015/2016,106
NC,Robbery at Residential Premises,2016/2017,142
NC,Robbery at Residential Premises,2017/2018,159
NC,Robbery at Residential Premises,2018/2019,157
NC,Robbery at Residential Premises,2019/2020,132
NC,Robbery at Residential Premises,2020/2021,151
NC,Robbery at Non-Residential Premises,2011/2012,210
NC,Robbery at Non-Residential Premises,2012/2013,215
NC,Robbery at Non-Residential Premises,2013/2014,282
NC,Robbery at Non-Residential Premises,2014/2015,240
NC,Robbery at Non-Residential Premises,2015/2016,258
NC,Robbery at Non-Residential Premises,2016/2017,304
NC,Robbery at Non-Residential Premises,2017/2018,299
NC,Robbery at Non-Residential Premises,2018/2019,332
NC,Robbery at Non-Residential Premises,2019/2020,198
NC,Robbery at Non-Residential Premises,2020/2021,225
NC,Robbery of Cash in Transit,2011/2012,2
NC,Robbery of Cash in Transit,2012/2013,1
NC,Robbery of Cash in Transit,2013/2014,2
NC,Robbery of Cash in Transit,2014/2015,0
NC,Robbery of Cash in Transit,2015/2016,1
NC,Robbery of Cash in Transit,2016/2017,0
NC,Robbery of Cash in Transit,2017/2018,1
NC,Robbery of Cash in Transit,2018/2019,1
NC,Robbery of Cash in Transit,2019/2020,1
NC,Robbery of Cash in Transit,2020/2021,0
NC,Bank Robbery,2011/2012,0
NC,Bank Robbery,2012/2013,0
NC,Bank Robbery,2013/2014,0
NC,Bank Robbery,2014/2015,1
NC,Bank Robbery,2015/2016,0
NC,Bank Robbery,2016/2017,0
NC,Bank Robbery,2017/2018,0
NC,Bank Robbery,2018/2019,0
NC,Bank Robbery,2019/2020,0
NC,Bank Robbery,2020/2021,0
NC,Truck Hijacking,2011/2012,4
NC,Truck Hijacking,2012/2013,4
NC,Truck Hijacking,2013/2014,0
NC,Truck Hijacking,2014/2015,0
NC,Truck Hijacking,2015/2016,2
NC,Truck Hijacking,2016/2017,0
NC,Truck Hijacking,2017/2018,3
NC,Truck Hijacking,2018/2019,4
NC,Truck Hijacking,2019/2020,1
NC,Truck Hijacking,2020/2021,3
NC,Other,2011/2012,654
NC,Other,2012/2013,887
NC,Other,2013/2014,980
NC,Other,2014/2015,1067
NC,Other,2015/2016,973
NC,Other,2016/2017,1030
NC,Other,2017/2018,1140
NC,Other,2018/2019,1247
NC,Other,2019/2020,1277
NC,Other,2020/2021,1027
WC,Car Hijacking,2011/2012,539
WC,Car Hijacking,2012/2013,782
WC,Car Hijacking,2013/2014,956
WC,Car Hijacking,2014/2015,1530
WC,Car Hijacking,2015/2016,2032
WC,Car Hijacking,2016/2017,2201
WC,Car Hijacking,2017/2018,2182
WC,Car Hijacking,2018/2019,2294
WC,Car Hijacking,2019/2020,2760
WC,Car Hijacking,2020/2021,2630
WC,Robbery at Residential Premises,2011/2012,1344
WC,Robbery at Residential Premises,2012/2013,1647
WC,Robbery at Residential Premises,2013/2014,1878
WC,Robbery at Residential Premises,2014/2015,2158
WC,Robbery at Residential Premises,2015/2016,2574
WC,Robbery at Residential Premises,2016/2017,2560
WC,Robbery at Residential Premises,2017/2018,2787
